Unidad_ID,Sector,Periodo_ID,IngRsos,Gastos,Activos,Pasivos,EBIT
UO_086,Logística,1,"123456,78",24987.37939901398,10860.71712529243,9234.423602007368,3811.366785824219
UO_015,Tecnología,8,30450.09122566627,19446.985845680698,17670.37635962656,12420.63272664134,12315.64901500826
UO_015,Tecnología,8,30450.09122566627,19446.985845680698,17670.37635962656,12420.63272664134,12315.64901500826
UO_077,Finanzas,1,47170.07320439235,33076.39147668534,6926.752898086423,2096.1445092851363,13716.391078122291
UO_001,Tecnología,9,19592.915242189152,13880.2560926877,23211.886570210405,19841.303916473957,6666.729730763671
UO_118,Logística,2,19593.07607887804,13469.944560851245,12749.502546955518,4685.473804043898,6000.973262742122
UO_038,Finanzas,9,48513.937547411464,37853.09587254921,30597.94205235992,10921.339921150939,11702.63497530784
UO_107,Comercial,7,32328.91676454367,25457.20620518877,18048.09491365029,9020.520495073246,6780.914398054107
UO_109,Comercial,9,17418.05876459637,12626.526569484558,22862.48396273239,11983.137122971306,4269.831618117031
UO_053,Finanzas,3,28890.844418872166,20911.950291071615,10152.33113924164,4351.086520203669,7019.352731525658
UO_052,Tecnología,1,17470.88663313352,15548.99230197297,12662.506490630047,8244.216044767785,1864.5689851444922
UO_001,Tecnología,1,17450.701427043034,15291.220698310339,13695.420944783713,7748.163292473451,2380.1750439792413
UO_011,Comercial,10,24859.14907462068,17593.529307276887,30152.450872214074,9664.02192341844,7570.983551229212
UO_058,Comercial,6,8462.161172096256,7783.715484496846,49336.83556216188,24263.42340820599,729.6355789145941
UO_107,Logística,7,9297.874305771085,8679.428576121805,11124.408632076285,8746.674729306154,564.597994110478
UO_040,Finanzas,9,16628.215084687217,11878.52989397987,34410.219811888135,24562.734795082553,4714.41468575704
UO_086,Tecnología,6,13274.291050599491,9611.233604415185,4905.898567271973,3605.4552994024407,2995.4949193159323
UO_099,Logística,5,25774.05555461012,20025.71829897811,8808.622579740122,6332.255874390545,6478.450622241172
UO_060,Tecnología,2,13988.45970997104,13000.7665249025,10144.96625807039,4936.376362881761,1181.238445093668
UO_115,Comercial,2,10870.936699746639,9856.806600104757,8010.390467164858,2882.125298943897,976.3554014422061
UO_044,Finanzas,8,45835.96777338151,29147.036303675894,6973.321734016793,3231.997321939643,13424.333838072474
UO_006,Operaciones,1,19675.153002664345,14509.554913548927,23104.885029304944,18462.44774669789,4483.310685056429
UO_028,Finanzas,8,22782.86739295765,18082.304288077878,15860.061634846465,14088.214860857895,4987.347990502223
UO_031,Industrial,10,10803.505101495439,8384.561042775764,22643.842475445086,13502.70914789956,2527.3894990695057
UO_119,Operaciones,7,16777.74588789271,11205.05238454799,27290.21826548843,8345.900361508046,6214.366244415325
UO_008,Logística,7,23282.593373701693,20967.97460718926,21149.471498328676,8121.965707131605,2086.7528917251225
UO_005,Operaciones,5,12388.2436767816,10368.083787149613,26759.849915570958,13199.251688381699,2233.1913381980535
UO_106,Operaciones,3,26578.26376885947,23741.510691647345,17296.866350242082,11193.687973164911,3050.0587778217164
UO_054,Logística,7,16312.397084363267,14690.414624933439,8846.736978469826,3052.62133345734,1507.025748720464
UO_112,Finanzas,7,19037.25494897237,16408.677381960115,34019.47754331192,29461.356726261703,2676.4052172312413
UO_108,Logística,7,16303.689223007223,12288.477134983272,12664.178801371541,6573.344589972558,3448.703900871883
UO_017,Industrial,2,55611.15514696902,45250.31669935585,10287.06151244756,8718.80444478317,10164.249840978673
UO_038,Comercial,3,21878.318173002073,14354.974786461895,16207.822491424397,12452.682045290745,8670.494779945237
UO_009,Comercial,3,12979.734500241697,10848.14923329009,10428.66400702837,7855.520098179066,2064.3903494824135
UO_074,Operaciones,4,33232.12993523725,22024.216581257082,14038.260456673432,9321.850628089887,12730.247043609348
UO_084,Logística,9,11963.051953550612,10083.445423676729,22168.60444969081,14987.534844321073,1947.4628557479687
UO_078,Logística,10,24451.13212476428,16635.556512327923,22225.710837222196,15175.758502643812,6852.311273755978
UO_014,Logística,1,8268.140699890055,5301.060161117992,10522.824724098055,7126.402390806627,3063.3400428584687
UO_026,Industrial,7,11337.906809580163,7458.637136956536,13458.642937426586,8509.051211685937,3888.5540515597554
UO_093,Industrial,7,24304.835904252846,14599.848024411214,34358.33106414263,30642.42296725063,9311.514034467222
UO_113,Finanzas,4,31864.037125922307,27134.103329058016,24290.486986448046,17959.76279494593,4010.2846610917486
UO_062,Tecnología,1,23997.000937756067,20549.600594027244,62632.46441934067,47986.979541840105,3332.544911375746
UO_091,Tecnología,3,20788.92888425323,16220.076807568897,36610.00725356331,30147.524169275537,3788.057874862229
UO_025,Tecnología,5,18947.895561975947,12438.857262880427,35831.25517687328,15385.36257176817,5464.387254604339
UO_080,Finanzas,2,10516.9025109776,6617.697994275794,7842.23280792347,2746.9968779144756,3768.0610628743243
UO_036,Logística,7,15368.540830248387,9324.019003755195,28518.726224051836,16818.53840669947,5573.97147446064
UO_098,Tecnología,10,17495.17861993381,11512.035058637513,17468.174757321183,10628.483285461976,7001.58067862779
UO_080,Logística,10,37367.667834615655,34071.81850272707,12957.252097060868,10333.5260433787,3131.987356570562
UO_033,Operaciones,7,26155.352806638817,17904.330142661354,19946.504707158154,11295.110164016207,9102.059947700489
UO_003,Tecnología,10,9122.324430127768,6604.516952185249,31796.990335987794,20429.94198269748,2548.2704571721956
UO_087,Operaciones,5,25901.13281332576,16495.678272687757,24355.158511669546,15008.68530613469,10173.26193216248
UO_011,Finanzas,10,18168.75900233907,12315.265536498755,10645.74668636287,3437.742301065911,5291.829655448759
UO_112,Comercial,6,15701.93135240072,12274.648809845108,28154.862335530826,18839.233132931615,4033.0958221065375
UO_058,Industrial,1,29906.709865514105,24305.58502647376,12301.14313386196,9801.870327764052,5668.536610015052
UO_064,Finanzas,4,36882.769186295074,25296.906982227545,20537.54331431193,8102.067591174393,13121.332217988149
UO_018,Finanzas,4,35088.89787482605,21762.353968595795,15032.803007143226,9870.524028350394,12607.154109740082
UO_047,Finanzas,8,14478.082576023808,10668.34170482238,15814.464089636704,10376.918809917519,3200.5044058555486
UO_105,Tecnología,2,18871.22986801871,12869.634897826721,28559.52501033151,11381.284255472227,6418.6137506820705
UO_044,Operaciones,1,25994.277995885604,17594.067797964344,9661.302650954993,3614.08216659518,6746.241229175535
UO_093,Industrial,7,35874.160911473824,33576.49197000255,57937.32168359436,51450.14731719448,2274.9615173186207
UO_059,Tecnología,6,17333.786990422854,14139.259665049422,6047.186239281494,3242.691758704759,2801.986238879543
UO_050,Comercial,5,20073.794991193554,15956.80929085422,12599.335961053259,5499.018447334734,4326.746952472891
UO_069,Industrial,8,12667.97599845029,9444.245760335492,22519.280536034013,9070.647448375983,3841.9383748298596
UO_088,Finanzas,2,12111.330373676079,9085.078511136708,25606.166999165285,17938.682679914324,2983.161554120118
UO_029,Logística,2,33066.06838339609,26099.601676078535,16978.69442049714,11302.159607746476,7851.203120804522
UO_093,Comercial,9,43395.8899627714,36615.300923189396,17423.33324900818,11954.693835852338,6801.701588671133
UO_090,Operaciones,1,21247.50889924212,17970.104739062306,23070.962039722137,8139.518843906716,3271.9506004334567
UO_104,Comercial,6,36379.708847437534,24013.986339083593,15699.094484481515,13126.338656240734,14494.721499443996
UO_067,Tecnología,3,26392.047495492367,20454.878324363126,41602.21769319256,22197.27253637459,6863.286504615411
UO_002,Logística,5,15953.605338440953,11872.439105517078,29840.131720653266,14562.630135258865,4547.725916075514
UO_025,Tecnología,8,26388.875104223414,23873.604648243498,30445.53445329174,17579.76515922045,2310.281702276646
UO_019,Industrial,7,47525.33818322699,39018.14212810328,10100.154158975312,5393.882685434221,8660.354221801335
UO_040,Finanzas,4,21635.41816069199,17013.582748627727,17194.88002213778,14067.925781954282,4111.39479427358
UO_002,Finanzas,8,48161.817974346464,30842.25629775043,15058.83936169635,12913.806858867916,16931.02639371199
UO_083,Comercial,10,5943.939737403458,4826.320133331379,9863.922368081974,4755.120092066808,1110.5620891940569
UO_065,Finanzas,2,33221.45736082149,21295.66401077006,22383.92867265151,18318.145096955384,13507.821584316313
UO_062,Finanzas,7,23006.30376547937,16519.03917750159,13061.347110543042,10043.051055012482,7514.920904060803
UO_091,Industrial,5,18967.766638545498,12328.947552303649,26721.99526382796,22940.421506307262,6412.090302504088
UO_054,Operaciones,6,23060.590215447886,19422.223499797554,9488.967265754887,4245.840180455027,2936.4594779896765
UO_045,Operaciones,3,8153.605839625243,5480.7579577084725,50585.7081476649,32687.24475298625,3059.6344584823196
UO_119,Tecnología,10,19735.297368910444,14547.889861177457,10532.283148501332,4894.633726574848,4511.547816304686
UO_116,Tecnología,7,26332.423347393655,24054.304607480317,20569.844073269927,16341.850324523622,2389.1833743117963
UO_049,Operaciones,7,46117.46568282913,30968.3732396421,29001.86990094508,8793.20785964543,12270.588546176135
UO_099,Comercial,2,16998.236644481913,13220.068712942308,12805.31684118878,8181.208055597825,3626.295366540438
UO_105,Operaciones,1,14702.211425386246,10978.804067729263,30075.951744957012,15143.905141881933,4447.178623427184
UO_069,Tecnología,10,17139.165063335866,10392.21986388562,8625.60031588972,4257.684506188663,5669.305842993262
UO_038,Logística,2,34811.429956135355,30545.823213660497,43099.6700025661,29607.050845457394,4135.408740343926
UO_004,Finanzas,8,25961.64550109542,16204.378170721771,18187.495181506383,14748.070145867445,9004.591534104644
UO_017,Industrial,10,16900.86187474624,12945.878635875475,12608.836481816825,8391.397989877958,4595.829934177243
UO_053,Logística,3,28470.783968816155,22669.503095213553,15070.446755611576,12235.75279549665,6658.339155145505
UO_085,Logística,4,23121.975732057577,18958.84688696344,29300.256863398798,13441.73506507623,3726.3313022649
UO_053,Finanzas,8,35750.60586554225,30067.01280740157,12699.613321913534,7768.367601893347,4731.449783666801
UO_112,Operaciones,3,15505.862435757406,10678.039819642307,11503.255788731976,6560.558967254761,5073.3432618050265
UO_031,Comercial,6,18697.945429029034,11284.071174910274,15789.146324096644,4847.061710539265,6928.617536465299
UO_112,Logística,2,18105.04528490147,15447.320264744609,8900.143973062806,5643.468135860188,2840.6662163537326
UO_022,Comercial,3,10596.113118646625,8344.225142990756,53762.224073983016,37467.678589277006,1830.4424175127397
UO_011,Industrial,1,25541.5071329414,22799.40147792112,12837.980016377604,8410.785182116126,2340.0024428784513
UO_034,Industrial,9,25097.60333977793,22273.76976586367,29702.012151606104,22032.00034587093,3034.3472411737584
UO_113,Industrial,4,22082.853537073177,19767.779008778263,20448.85255646986,,2048.7211804951758
UO_015,Tecnología,6,19588.666404698044,15079.0249569827,9989.397601864588,3396.896181997377,5154.678329239473
UO_114,Logística,7,10854.278672987923,7780.020657365096,17969.428467753736,6646.304249584311,2531.455814972398
UO_010,Industrial,2,17848.54620186591,15653.984823765844,28865.479165615805,18990.158444233413,1944.8044773191098
UO_102,Tecnología,8,18557.74946541548,14065.90075893412,16107.547000713343,7489.808255574155,5387.631589385632
UO_096,Industrial,9,14747.979441820797,9795.678274554584,36896.34477413667,12832.071916509394,4819.73024915524
UO_053,Operaciones,10,20319.92364722684,18272.506567584227,33286.56814768688,18565.971042046043,2213.6392260915313
UO_048,Logística,2,26957.731772174317,24501.77341412384,31299.23429451544,19799.69401165354,2144.211823059328
UO_031,Tecnología,5,56562.01640191111,43168.60686745668,13687.057217595688,6805.856256836373,13982.016319531931
UO_037,Industrial,2,24035.54142061969,15058.144228321218,9434.179884386398,6908.274650259392,9789.334785634977
UO_108,Tecnología,5,25053.65979297264,18432.957896249747,12479.56064757291,8564.252802426498,6129.383941200892
UO_028,Industrial,7,21221.647371458424,18701.325923455897,20287.182555393276,10137.32287617011,2851.8920262020847
UO_031,Operaciones,6,8438.960296223011,7726.888505807152,25021.031948625503,18838.923382364144,741.5280865211517
UO_070,Comercial,4,21736.38932066047,14589.800553870866,4900.326708811786,3377.388598322595,6829.631865197338
UO_014,Industrial,2,22699.88426436816,14152.03319323002,17946.171406204157,12247.673838999764,8744.938508610654
UO_087,Comercial,7,75479.85332439913,68465.71122543608,19828.062974887758,12532.458474418323,7229.506695584001
UO_016,Logística,10,20006.64040359626,14730.7238470949,15267.3745186642,4684.546552609989,4570.073401764634
UO_025,Operaciones,9,25610.908965564962,20222.792137272616,39134.67976628126,28094.955278053916,5178.48108638518
UO_039,Logística,1,21647.475361379846,20323.14850192495,23226.93892410094,12208.661506231423,1241.3872283929593
UO_066,Comercial,3,12279.186839050417,7653.588359262504,39581.42196443099,34260.32620066515,4442.244793472267
UO_038,Operaciones,7,39003.684977762925,32252.587951483125,15842.059689055668,12527.756047602876,7456.210193260997
