Unidad_ID,Periodo_ID,Plantilla,Costes_fij,CostesVariables,Crecimiento_Ingresos
UO_094,1,283,9296.337623183292,11160.394789912807,0.2783186397563009
UO_105,10,422,7028.864683306666,9194.617840554609,0.0730967302649492
UO_119,1,227,5104.524437929307,7593.045656412565,0.04834493090317077
UO_035,6,471,13751.734817554428,10470.481716645549,0.2628401445799303
UO_071,6,161,5222.16677411005,5128.478498061345,-0.05268534049875813
UO_012,7,41,5168.484710590217,4289.902219599695,-0.0842956810451566
UO_114,10,36,11045.396306595281,18451.17209708861,0.17400096492010955
UO_042,9,382,6277.239001584575,13610.821472866517,0.05400118724204167
UO_098,6,338,4886.907314242684,4013.5950495804113,0.20579032353204232
UO_049,2,141,7860.172596657795,7030.448974932276,-0.0725821553892978
UO_067,4,45 empleados,4686.523131815093,7684.467652307637,0.05350285741415456
UO_033,9,246,4415.6167517650565,9475.54089787143,-0.005869915181555108
UO_104,2,439,5351.482545368872,9697.617949980106,0.1958426131786389
UO_013,7,392,2700.676855140452,2661.1284699920784,-0.009131955829051422
UO_075,4,320,4274.149194871752,5685.172482474939,0.08317813390974194
UO_104,10,305,5096.713535413093,7922.742984269504,0.22755102045468475
UO_020,6,135,4378.127601867987,4132.664474848915,0.26615621418578783
UO_095,1,168,7042.942407254172,10942.194996643306,0.1890423174663111
UO_033,8,423,4652.156376972796,6460.482090839569,0.07169136461318146
UO_034,6,189,2575.5579214459513,6671.180420065822,0.12879434989709324
UO_050,7,109,12134.312010919743,14675.515674822229,0.17587597886099757
UO_050,6,138,4737.009867517735,9924.337149738627,0.24997305062964723
UO_009,7,203,7644.00586327641,6866.520348922854,0.2554295939041167
UO_007,5,415,2705.83715290264,3674.2379278016274,0.27238779659533885
UO_009,3,283,2605.7927071162903,6863.521453642175,0.22428443956295294
UO_106,6,246,5282.170520790311,12862.684384493828,-0.04128082562333329
UO_026,10,112,4597.944728016483,6146.960148917939,0.19905581335449726
UO_002,9,136,6590.285983899379,15285.843119099784,0.22583694942528706
